ID;SchoolCode;SchoolName;Address;City;StateCode;ZipCode;Province;Country;PostalCode
25969;B04724;WIDENER UNIV SCHOOL OF LAW - DE;4601 CONCORD PIKE/PO BOX 7474;WILMINGTON;DE;19803;;;
25970;B06171;CENTER FOR ADVANCED STUDIES OF PUER;BOX S-4467;SAN JUAN;PR;00902;;;
25971;B06511;PENTECOSTAL THEOLOGICAL SEMINARY;PO BOX 3330;CLEVELAND;TN;37320;;;
25972;B07022;THE CHICAGO SCHOOL OF PROF PSYCHOLOGY;325 NORTH WELLS STREET;CHICAGO;IL;60610;;;
25973;B07624;NATIONAL COLLEGE OF NATURAL MEDICINE;049 SW PORTER;PORTLAND;OR;97201;;;
25974;B07625;OREGON COL OF ORIENTAL MEDICINE;10525 SE CHERRY BLOSSOM DR;PORTLAND;OR;97216;;;
25975;B08041;ALFRED ADLER GRADUATE SCHOOL;1001 WEST HIGHWAY 7  SUITE 344;HOPKINS;MN;55305;;;
25976;B08083;UNIV OF THE DIST OF COLU -SCHOOL OF LAW;4200 CONNECTICUT AVENUE NW;WASHINGTON;DC;20008;;;
25977;B42154;GRACE SCHOOL OF THEOLOGY;3705 COLLEGE PARK DR;CONROE;TX;77384;;;
25978;E00014;AMRCN REPERTORY THTR INST ADV THTR;64 BRATTLE STREET;CAMBRIDGE;MA;02138;;;
25979;E00058;BROWN UNIVERSITY - GRADUATE SCHOOL;8 FONES ALLEY;PROVIDENCE;RI;02912;;;
25980;E00059;BROWN MEDICAL SCHOOL;97 WATERMAN STREET  BOX G-A212;PROVIDENCE;RI;02912;;;
25981;E00073;CARNEGIE MELLON UNIV- THE HEINZ COLLEGE;5000 FORBES AVENUE;PITTSBURGH;PA;15213;;;
25982;E00074;CARNEGIE MELLON- TEPPER SCHOOL OF BUSINE;5000 FORBES AVENUE;PITTSBURGH;PA;15213;;;
25983;E00077;CASE WESTERN RESERVE UNIV - UG;10900 EUCLID AVENUE;CLEVELAND;OH;44106;;;
25984;E00078;CASE WESTERN RESERVE UNIV - DENTAL;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25985;E00079;CASE WESTERN RESERVE UNIV - MED;10900 EUCLID AVE T-303;CLEVELAND;OH;44106;;;
25986;E00080;CASE WESTERN RESERVE UNIV - WSOM;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25987;E00081;CASE WESTERN RESERVE UNIV - NURS UG;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25988;E00082;CASE WESTERN RESERVE UNIV - LAW;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25989;E00083;CASE WESTERN RESERVE UNIV -NURS GRD;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25990;E00084;CASE WESTERN RESERVE UNIV - MSASS;10900 EUCLID AVE;CLEVELAND;OH;44106;;;
25991;E00131;CATHOLIC UNIV AMERICA, LAW SCHOOL;OFC FNCL AID  CARDINAL STATION;WASHINGTON;DC;20064;;;
25992;E00170;EARLHAM SCHOOL OF RELIGION;228 COLLEGE AVENUE;RICHMOND;IN;47374;;;
25993;E00171;EAST TENNESSEE STATE UNIV - MEDICINE;VA CAMPUS MAPLE AVENUE;JOHNSON CITY;TN;37614;;;
25994;E00177;ERSKINE THEOLOGICAL SEMINARY;PO BOX 668;DUE WEST;SC;29639;;;
25995;E00196;GEORGE WASHINGTON UNIV LAW SCHL;2000 H STREET NW;WASHINGTON;DC;20052;;;
25996;E00197;GEORGE WASHINGTON UNIV SCH MED;2300 I ST NW;WASHINGTON;DC;20052;;;
25997;E00209;HARVARD EXTENSION SCHOOL;51 BRATTLE STREET;CAMBRIDGE;MA;02138;;;
25998;E00210;HARVARD DIVINITY SCHOOL;14 DIVINITY AVE;CAMBRIDGE;MA;02138;;;
25999;E00212;HARVARD UNIV GRAD SCH DESIGN;48 QUINCY STR;CAMBRIDGE;MA;02138;;;
26000;E00213;HARVARD UNIV GRAD SCH ED;13 APPIAN WAY;CAMBRIDGE;MA;02138;;;
26001;E00214;HARVARD UNIV SCH PUBLIC HEALTH;708 HUNTINGTON AVE;BOSTON;MA;02115;;;
26002;E00215;HARVARD KENNEDY SCHOOL;124 MT AUBURN ST;CAMBRIDGE;MA;02138;;;
26003;E00233;JOHNS HOPKINS UNIV PEABODY CONSERV;1 MT. VERNON PLACE;BALTIMORE;MD;21202;;;
26004;E00234;JOHNS HOPKINS BLOOMBERG SCH OF PH;615 N. WOLFE  STREET;BALTIMORE;MD;21205;;;
26005;E00235;JOHNS HOPKINS UNIV SCH OF MEDICINE;733 N. BROADWAY - SUITE 137;BALTIMORE;MD;21205;;;
26006;E00254;LMU  - LOYOLA LAW SCHOOL;919 SOUTH ALBANY STREET;LOS ANGELES;CA;90015;;;
26007;E00266;MAYO GRAD SCHOOL;STUDENT FINANCIAL AID OFFICE B;ROCHESTER;MN;55901;;;
26008;E00277;MORAVIAN THEOLOGICAL SEMINARY;1200 MAIN STREET;BETHLEHEM;PA;18018;;;
26009;E00306;OHIO UNIV COLL OF OSTEOPATHIC MED;014 GROSVENOR HALL;ATHENS;OH;45701;;;
26010;E00341;STANFORD UNIVERSITY - STANFORD LAW SCHOO;559 NATHAN ABBOTT WAY;STANFORD;CA;94305;;;
26011;E00342;STETSON UNIVERSITY - COLLEGE OF LAW;1401 61ST STREET SOUTH;SAINT PETERSBURG;FL;33707;;;
26012;E00362;TUFTS UNIVERSITY - CUMMINGS SCHOOL OF VE;200 WESTBORO ROAD;NORTH GRAFTON;MA;01536;;;
26013;E00374;UNIV OF CALIFORNIA LOS ANG SCH MED;FIN AID OFFICE  12-109 CHS;LOS ANGELES;CA;90095;;;
26014;E00375;UNIV OF CALIFORNIA LOS ANG DENTAL;A3042 DENTAL BLDG;LOS ANGELES;CA;90095;;;
26015;E00377;UNIVERSITY OF CHICAGO GRADUATE;970 EAST 58TH STREET, RM 411;CHICAGO;IL;60637;;;
26016;E00385;UNIVERSITY OF CINCINNATI - MEDICINE;231 BETHESDA AVENUE;CINCINNATI;OH;45267;;;
26017;E00387;UNIV OF CONNECTICUT SCH LAW;55 ELIZABETH ST;HARTFORD;CT;06105;;;
26018;E00392;UNIV OF DETROIT MERCY - LAW SCHOOL;651 E. JEFFERSON;DETROIT;MI;48226;;;
26019;E00398;UNIVERSITY OF MICHIGAN-MEDICAL SCH;1301 CATHERINE C5124 MED SCI-I;ANN ARBOR;MI;48109;;;
26020;E00428;VILLANOVA UNIV SCH OF LAW;299 N. SPRING MILL RD GAREY HL;VILLANOVA;PA;19085;;;
26021;E00429;WAKE FOREST UNIV - GRAD A&S/DIVINITY;PO BOX 7246;WINSTON-SALEM;NC;27109;;;
26022;E00435;WAYNE STATE UNIVERSITY - LAW SCHOOL;468 W. FERRY, ROOM 191;DETROIT;MI;48202;;;
26023;E00461;BAKER COLLEGE OF CADILLAC;9600 E 13TH STREET;CADILLAC;MI;49601;;;
26024;E00462;BAKER COLLEGE OF CLINTON TOWNSHIP;34950 LITTLE MACK;CLINTON TOWNSHIP;MI;48035;;;
26025;E00463;BAKER COLLEGE OF MUSKEGON;1903 MARQUETTE;MUSKEGON;MI;49442;;;
26026;E00464;BAKER COLLEGE OF OWOSSO;1020 S. WASHINGTON;OWOSSO;MI;48867;;;
26027;E00465;BAKER COLLEGE OF PORT HURON;3403 LAPEER ROAD;PORT HURON;MI;48060;;;
26028;E00466;BAKER COLLEGE OF AUBURN HILLS;1500 UNIVERSITY DRIVE;AUBURN HILLS;MI;48326;;;
26029;E00468;HARVARD UNIVERSITY-HARVARD COLLEGE;86 BRATTLE STREET;CAMBRIDGE;MA;02138;;;
26030;E00470;HARVARD UNIV GRAD S OF ARTS & SCIEN;1350 MASSACHUSETTS AVE;CAMBRIDGE;MA;02138;;;
26031;E00471;HARVARD LAW SCHOOL;1563 MASS AVE;CAMBRIDGE;MA;02138;;;
26032;E00472;HARVARD UNIV MEDICAL SCHOOL;25 SHATTUCK ST;BOSTON;MA;02115;;;
26033;E00473;JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG;3400 N. CHARLES ST;BALTIMORE;MD;21218;;;
26034;E00474;JOHNS HOPKINS UNIV SCH ADV INTL STU;1740 MASSACHUSETTS AVE. NW;WASHINGTON;DC;20036;;;
26035;E00475;JOHNS HOPKINS UNIV SCH OF BUS/ED;6740 ALEXANDER BELL DR.;COLUMBIA;MD;21046;;;
26036;E00476;JOHNS HOPKINS UNIV SCH OF NURSING;525 N WOLFE STREET - ROOM 127;BALTIMORE;MD;21205;;;
26037;E00479;MISSISSIPPI COLLEGE - SCHOOL OF LAW;151 EAST GRIFFITH;JACKSON;MS;39201;;;
26038;E00480;WHITTIER COLLEGE - COLLEGE OF LAW;3333 HARBOR BOULEVARD;COSTA MESA;CA;92626;;;
26039;E00505;ST JOSEPH'S COLLEGE-SUFFOLK CAMPUS;155 ROE BLVD;PATCHOGUE;NY;11772;;;
26040;E00506;UNIVERSITY OF MICHIGAN LAW SCHOOL;310 HUTCHINS HALL;ANN ARBOR;MI;48109;;;
26041;E00507;HARVARD BUSINESS SCHOOL;SPANGLER CTR;BOSTON;MA;02163;;;
26042;E00508;HARVARD SCH OF DENTAL MEDICINE;188 LONGWOOD AVE;BOSTON;MA;02115;;;
26043;E00512;UNIV OF CHICAGO, BOOTH SCH OF BUS;5807 S. WOODLAWN;CHICAGO;IL;60637;;;
26044;E00514;WAKE FOREST UNIV - SCH OF LAW;PO BOX 7206;WINSTON-SALEM;NC;27109;;;
26045;E00515;WAKE FOREST GRAD SCHOOLS OF BUSINESS;WORRELL PROFESSIONAL CENTER;WINSTON-SALEM;NC;27109;;;
26046;E00516;UNIVERSITY OF PITTSBURGH - SCHOOL OF MED;M-219 SCAIFE HALL;PITTSBURGH;PA;15261;;;
26047;E00518;GEORGETOWN UNIV, SCH OF MEDICINE;3900 RESERVIOR RD  NW;WASHINGTON;DC;20007;;;
26048;E00519;TUFTS UNIV SCH OF DENTAL MEDICINE;1 KNEELAND STR;BOSTON;MA;02111;;;
26049;E00520;TUFTS UNIV SCHOOL OF MEDICINE;136 HARRISON AVE;BOSTON;MA;02111;;;
26050;E00522;SMITH COLLEGE, SCH FOR SOCIAL WORK;LILLY HALL;NORTHAMPTON;MA;01063;;;
26051;E00524;WAKE FOREST UNIV - SCH OF MEDICINE;MEDICAL CENTER BLVD;WINSTON-SALEM;NC;27157;;;
26052;E00531;UNIV OF CT - SCH OF SOCIAL WORK;1798 ASYLUM AVENUE;WEST HARTFORD;CT;06117;;;
26053;E00532;UNIV OF MIAMI SCHOOL OF LAW;211 OLD LAW PO BOX 24-8087;CORAL GABLES;FL;33124;;;
26054;E00533;UNIV OF MIAMI-SCH OF MEDICINE;1600 NW 10TH AVE;MIAMI;FL;33136;;;
26055;E00540;SOUTHWESTERN OK STATE UNIV AT SAYRE;409 EAST MISSISSIPPI AVENUE;SAYRE;OK;73662;;;
26056;E00546;NY INSTITUTE OF TECHNOLOGY-OSTEOPATHIC M;NORTHERN BOULEVARD;OLD WESTBURY;NY;11568;;;
26057;E00554;ANTIOCH UNIV/LOS ANGELES;400 CORPORATE POINTE;CULVER CITY;CA;90230;;;
26058;E00555;ANTIOCH UNIV/SEATTLE;2626 SIXTH AVENUE;SEATTLE;WA;98121;;;
26059;E00556;ANTIOCH  UNIV/SANTA BARBARA;801 GARDEN STR  SUITE 101;SANTA BARBARA;CA;93101;;;
26060;E00557;ANTIOCH UNIVERSITY;40 AVON STREET;KEENE;NH;03431;;;
26061;E00562;MIDDLESEX COMMUNITY COLLEGE, LOWELL;33 KEARNEY SQUARE;LOWELL;MA;01852;;;
26062;E00567;MAYO SCHOOL OF HEALTH-RELATED SCIEN;200 FIRST ST  SW;ROCHESTER;MN;55905;;;
26063;E00568;UNIV OF SOUTH FLORIDA- MEDICINE;12901 BRUCE B DOWNS BLVD MDC 4;TAMPA;FL;33612;;;
26064;E00570;WAYNE STATE UNIV SCH OF MEDICINE;1374 SCOTT HALL;DETROIT;MI;48201;;;
26065;E00573;UNIV OF SOUTH FLORIDA-SARASOTA;8350 N TAMIAMI TRAIL;SARASOTA;FL;34243;;;
26066;E00584;FLORIDA ATLANTIC UNIVERSITY/DAVIE;2912 COLLEGE AVENUE;DAVIE;FL;33314;;;
26067;E00587;UNIV OF KY-COLLEGE OF DENTISTRY;D155 CHANDLER MEDICAL CENTER;LEXINGTON;KY;40536;;;
26068;E00588;UNIV OF KY-COLLEGE OF MEDICINE;OSFA - MN109A CHANDLER MED CTR;LEXINGTON;KY;40536;;;
26069;E00602;SOUTH UNIVERSITY - WEST PALM BEACH CAMPU;1760 N. CONGRESS AVE.;WEST PALM BEACH;FL;33409;;;
26070;E00606;SO IL UNIV-SCHL OF DENTAL MEDICINE;2800 COLLEGE AVENUE;ALTON;IL;62002;;;
26071;E00611;MIAMI DADE COLLEGE - HOMESTEAD CAMPUS;500 COLLEGE TERRACE;HOMESTEAD;FL;33030;;;
26072;E00614;LINFIELD COLLEGE - PORTLAND CAMPUS;2255 NW NORTHUP;PORTLAND;OR;97210;;;
26073;E00616;CARLOS ALBIZU UNIVERSITY;2173 N.W. 99TH AVE;MIAMI;FL;33172;;;
26074;E00636;NATIONAL AMERICAN UNIVERSITY;4775 INDIAN SCHOOL RD NE #200;ALBUQUERQUE;NM;87110;;;
26075;E00637;NATIONAL AMERICAN UNIVERSITY - COLORADO;1915 JAMBOREE DRIVE SUITE 185;COLORADO SPRINGS;CO;80920;;;
26076;E00639;NATIONAL AMERICAN UNIVERSITY;3620 SOUTH ARROWHEAD AVENUE;INDEPENDENCE;MO;64057;;;
26077;E00640;NATIONAL AMERICAN UNIVERSITY;1500 WEST HIGHWAY 36;ROSEVILLE;MN;55113;;;
26078;E00641;NATIONAL AMERICAN UNIVERSITY - SIOUX FAL;5801 SOUTH CORPORATE PLACE;SIOUX FALLS;SD;57108;;;
26079;E00646;ECPI UNIVERSITY - CHARLOTTE;4800 AIRPORT CENTER PARKWAY;CHARLOTTE;NC;28208;;;
26080;E00647;ECPI UNIVERSITY - GREENSBORO;7802 AIRPORT CENTER DRIVE;GREENSBORO;NC;27409;;;
26081;E00648;ECPI UNIVERSITY - NEWPORT NEWS;1001 OMNI BOULEVARD;NEWPORT NEWS;VA;23606;;;
26082;E00650;U OF MD UNIVERSITY COLLEGE - EUROPE;3501 UNIVERSITY BOULEVARD EAST;COLLEGE PARK;MD;20832;;;
26083;E00651;U OF MD UNIVERSITY COLLEGE - ASIA;3501 UNIVERSITY BOULEVARD;ADLEPHI;MD;31207;;;
26084;E00656;WIDENER UNIV SCH OF LAW- HARRISBURG;3800 VARTAN WAY/P.O. BOX 69381;HARRISBURG;PA;17106;;;
